label,used_a_invariants,sage_rank,sage_rank_error,pari_2_selmer_rank,pari_analytic_rank,has_rational_3_torsion,estimated_3_selmer_bound,notes
518400n1,"[0,0,0,-11259000,14541120000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400o1,"[0,0,0,-312750,-67320000]",0,,,,False,0,
518400p1,"[0,0,0,-450360,-116328960]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400q1,"[0,0,0,-1251000,-538560000]",1,,,,False,1,
518400r1,"[0,0,0,-112590,-14541120]",0,,,,False,0,
518400s1,"[0,0,0,-3000,-64000]",1,,,,False,1,
518400t1,"[0,0,0,-6750,216000]",1,,,,False,1,
518400u1,"[0,0,0,1350,27000]",1,,,,False,1,
518400u2,"[0,0,0,-5506650,-4973697000]",1,,,,False,1,
518400v1,"[0,0,0,600,-8000]",0,,,,False,0,
518400v2,"[0,0,0,-2447400,1473688000]",0,,,,False,0,
518400w1,"[0,0,0,-469800,511272000]",1,,,,False,1,
518400x1,"[0,0,0,-13050,-2367000]",0,,,,False,0,
518400y1,"[0,0,0,-281550,-57502000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400z1,"[0,0,0,-10135800,12420432000]",0,,,,False,0,
518400ba1,"[0,0,0,-1080,17280]",2,,,,False,2,
518400bb1,"[0,0,0,-6750,-270000]",0,,,,False,0,
518400bc1,"[0,0,0,-3000,80000]",2,,,,False,2,
518400bd1,"[0,0,0,-30,-80]",0,,,,False,0,
518400be1,"[0,0,0,4050,486000]",0,,,,False,0,
518400bf1,"[0,0,0,1800,-144000]",0,,,,False,0,
518400bg1,"[0,0,0,-360,-2880]",1,,,,False,1,
518400bh1,"[0,0,0,-81000,-9720000]",0,,,,False,0,
518400bi1,"[0,0,0,-2250,45000]",1,,,,False,1,
518400bj1,"[0,0,0,-810,9720]",0,,,,False,0,
518400bk1,"[0,0,0,-20250,-1215000]",2,,,,False,2,
518400bl1,"[0,0,0,-90,-360]",1,,,,False,1,
518400bm1,"[0,0,0,-3240,77760]",0,,,,False,0,
518400bn1,"[0,0,0,-9000,360000]",1,,,,False,1,
518400bo1,"[0,0,0,450,-18000]",1,,,,False,1,
518400bp1,"[0,0,0,16200,3888000]",1,,,,False,1,
518400bq1,"[0,0,0,-750,10000]",1,,,,False,1,
518400br1,"[0,0,0,-120,-640]",1,,,,False,1,
518400bs1,"[0,0,0,-270,2160]",1,,,,False,1,
518400bt1,"[0,0,0,-27000,-2160000]",1,,,,False,1,
518400bu1,"[0,0,0,-2533950,1552554000]",1,,,,False,1,
518400bv1,"[0,0,0,-1126200,-460016000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400bw1,"[0,0,0,-101250,12150000]",1,,,,False,1,
518400bx1,"[0,0,0,-16200,-777600]",1,,,,False,1,
518400by1,"[0,0,0,-450,3600]",2,,,,False,2,
518400bz1,"[0,0,0,-45000,-3600000]",0,,,,False,0,
518400ca1,"[0,0,0,-4050,243000]",1,,,,False,1,
518400cb1,"[0,0,0,-9163800,-10677312000]",0,,,,False,0,
518400cc1,"[0,0,0,-254550,49432000]",1,,,,False,1,
518400cd1,"[0,0,0,-1800,-72000]",1,,,,False,1,
518400ce1,"[0,0,0,-3000,40000]",1,,,,False,1,
518400cf1,"[0,0,0,-30,-40]",2,,,,False,2,
518400cg1,"[0,0,0,-1080,8640]",1,,,,False,1,
518400ch1,"[0,0,0,-6750,-135000]",0,,,,False,0,
518400ci1,"[0,0,0,-270,1080]",2,,,,False,2,
518400cj1,"[0,0,0,-27000,-1080000]",1,,,,False,1,
518400ck1,"[0,0,0,-750,5000]",0,,,,False,0,
518400cl1,"[0,0,0,-120,-320]",1,,,,False,1,
518400cm1,"[0,0,0,-450,-9000]",1,,,,False,1,
518400cn1,"[0,0,0,-1018200,395456000]",0,,,,False,0,
518400co1,"[0,0,0,-2290950,-1334664000]",1,,,,False,1,
518400cp1,"[0,0,0,-16200,1944000]",1,,,,False,1,
518400cq1,"[0,0,0,-1800,28800]",1,,,,False,1,
518400cr1,"[0,0,0,-11250,-450000]",1,,,,False,1,
518400cs1,"[0,0,0,-405000,97200000]",0,,,,False,0,
518400ct1,"[0,0,0,-4050,-97200]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400cu1,"[0,0,0,-1800,-28800]",1,,,,False,1,
518400cv1,"[0,0,0,-11250,450000]",1,,,,False,1,
518400cw1,"[0,0,0,-405000,-97200000]",0,,,,False,0,
518400cx1,"[0,0,0,-4050,97200]",0,,,,False,0,
518400cy1,"[0,0,0,-450,9000]",2,,,,False,2,
518400cz1,"[0,0,0,-1018200,-395456000]",0,,,,False,0,
518400da1,"[0,0,0,-2290950,1334664000]",1,,,,False,1,
518400db1,"[0,0,0,-16200,-1944000]",0,,,,False,0,
518400dc1,"[0,0,0,-270,-1080]",1,,,,False,1,
518400dd1,"[0,0,0,-27000,1080000]",0,,,,False,0,
518400de1,"[0,0,0,-750,-5000]",1,,,,False,1,
518400df1,"[0,0,0,-120,320]",0,,,,False,0,
518400dg1,"[0,0,0,-3000,-40000]",0,,,,False,0,
518400dh1,"[0,0,0,-30,40]",1,,,,False,1,
